STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,RUS,Russia,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2015,,0.659228826095084,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,RUS,Russia,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2014,,0.709276777504813,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2005,,12.5748621723288,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2004,,12.4750651336041,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2003,,12.2579105542132,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,RUS,Russia,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2019,,1.04526352010761,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,RUS,Russia,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2018,,1.02664545328444,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,RUS,Russia,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2017,,0.761894875150218,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2018,,13.6445469560686,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2017,,13.4495583663711,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2016,,13.3307638693632,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2015,,13.1769726004659,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2014,,13.0154933909223,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2013,,12.9781361850971,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2012,,12.9425104967098,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2011,,12.7690119925453,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2009,,13.5323545803564,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,AUS,Australia,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2008,,13.3581938981319,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,MLT,Malta,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2021,,1.0350096858916,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,MLT,Malta,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2020,,1.0322342890173,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,MLT,Malta,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2019,,1.02010547265688,,,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2008,,12.5694206288085,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2007,,12.6203638515182,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2006,,12.4763518444141,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2005,,12.4528309201751,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",H,Hourly,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2004,,12.5485029879134,,2021,,A,Normal value,0,Units,0,Zero
