year,minimum wage per month (euro),minimum wage per hour (euro)
1969,282.14,2.8
1970,298.4,3.2
1971,339.05,3.7
1972,379.9,4.2
1973,436.83,4.8
1974,508.21,5.7
1975,589.62,6.6
1976,660.41,7.2
1977,709.96,7.9
1978,770.43,8.7
1979,803.46,9.2
1980,838.81,9.6
1981,863.93,9.9
1982,909.35,10.5
1983,929.55,10.8
1984,901.98,10.9
1985,901.98,11.4
1986,901.98,11.7
1987,901.98,12
1988,901.98,12.1
1989,901.98,12.4
1990,917.91,13.9
1991,945.93,14.6
1992,974.83,15.1
1993,981.62,15.8
1994,981.62,16.2
1995,981.62,16.3
1996,995.48,16.5
1997,1012.88,17.1
1998,1040.08,16.7
1999,1071.28,17.4
2000,1101.37,18.4
2001,1167.44,19.3
2002,1219.2,20.1
2003,1257,20.7
2004,1264.8,20.9
2005,1264.8,21.5
2006,1278.6,22.2
2007,1308.9,23
2008,1345.8,23.6
2009,1389.9,24.3
2010,1411.8,24.7
2011,1429.8,25
2012,1451.4,25.5
2013,1473.6,25.9
2014,1490.4,25.8
2015,1504.8,26.3
2016,1530.9,26.5
2017,1558.5,26.8
2018,1586.1,27.3
