"Totaal banen";"Banen|<= minimumloon";"Banen|<=105% minimumloon";"Banen|<=110% minimumloon";"Banen|<=115% minimumloon";"Banen|<=120% minimumloon";"Banen|<=130% minimumloon";"Totaal arbeidsvolume";"Arbeidsvolume|<= minimumloon";"Arbeidsvolume|<=105% minimumloon";"Arbeidsvolume|<=110% minimumloon";"Arbeidsvolume|<=115% minimumloon";"Arbeidsvolume|<=120% minimumloon";"Arbeidsvolume|<=130% minimumloon";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000"
"Totaal";"8867,9";"401,0";"609,9";"872,4";"1133,0";"1396,2";"1997,5";"6722,5";"247,9";"369,6";"513,6";"667,7";"825,7";"1187,9"
"Geslacht: mannen";"4573,4";"197,0";"292,0";"406,4";"517,6";"630,7";"878,4";"3842,0";"128,6";"188,0";"255,7";"328,8";"404,1";"571,2"
"Geslacht: vrouwen";"4294,5";"204,0";"318,0";"465,9";"615,3";"765,6";"1119,0";"2880,5";"119,4";"181,6";"257,9";"338,9";"421,5";"616,7"
"Leeftijd: 0 tot 15 jaar";"31,2";"2,2";"3,5";"5,4";"7,5";"9,6";"18,6";"5,2";"0,4";"0,6";"1,0";"1,3";"1,7";"3,0"
"Leeftijd: 15 tot 20 jaar";"699,5";"71,4";"94,8";"127,4";"159,4";"194,7";"286,9";"248,1";"37,2";"45,5";"55,5";"65,6";"76,4";"103,8"
"Leeftijd: 20 tot 25 jaar";"949,8";"137,4";"199,8";"278,8";"349,2";"415,3";"535,0";"596,4";"87,2";"120,9";"160,7";"199,0";"236,1";"309,1"
"Leeftijd: 25 tot 30 jaar";"963,8";"48,8";"74,2";"105,1";"137,2";"170,5";"241,4";"807,6";"32,5";"49,2";"69,3";"91,7";"115,9";"170,5"
"Leeftijd: 30 tot 35 jaar";"942,6";"26,4";"42,6";"62,1";"82,7";"103,8";"152,2";"801,6";"17,1";"28,2";"41,3";"56,1";"71,7";"108,6"
"Leeftijd: 35 tot 40 jaar";"853,4";"20,2";"34,0";"50,3";"67,8";"85,3";"125,0";"710,2";"13,2";"22,6";"33,5";"45,7";"58,2";"86,9"
"Leeftijd: 40 tot 45 jaar";"816,7";"18,0";"30,6";"45,9";"62,1";"78,1";"115,7";"674,6";"12,0";"20,6";"30,8";"42,0";"53,2";"79,5"
"Leeftijd: 45 tot 50 jaar";"822,7";"17,5";"30,5";"45,8";"62,1";"78,4";"117,9";"680,1";"11,7";"20,5";"30,7";"42,0";"53,2";"80,0"
"Leeftijd: 50 tot 55 jaar";"957,6";"18,1";"31,9";"48,7";"66,8";"85,1";"132,3";"788,0";"12,0";"21,1";"31,7";"43,8";"56,1";"86,9"
"Leeftijd: 55 tot 60 jaar";"893,5";"14,9";"26,9";"42,2";"58,5";"75,3";"120,5";"723,5";"9,7";"17,2";"26,2";"36,8";"47,9";"75,9"
"Leeftijd: 60 tot 65 jaar";"683,2";"11,5";"20,7";"32,3";"44,4";"57,3";"92,3";"536,7";"7,4";"12,9";"19,5";"27,1";"35,3";"56,1"
"Leeftijd: 65 tot 75 jaar";"233,4";"11,5";"16,6";"23,3";"29,6";"36,2";"51,4";"142,3";"6,0";"8,2";"11,0";"13,9";"17,0";"24,2"
"Leeftijd: 75 jaar of ouder";"20,5";"3,0";"3,8";"4,9";"5,8";"6,7";"8,3";"8,2";"1,7";"2,0";"2,3";"2,6";"3,0";"3,5"
